ambition 雄心壮志
beneficial 有益的
capability 能力，才干
cautious 谨慎的
collaborate 合作，协作
comprehensive 综合性的，全面的
consistency 持续性，一致性
consumption 消费，消耗
contagious 传染性的，具有感染力的
contradiction 矛盾，相互抵触的事物
conviction 确信，信仰
crucial 决定性的，关键的
dealership 代理权，经销权
demonstration 演示，示范
desperation 绝望
deviation 偏离，背离原则
dilemma 进退两难的局面，困境
efficient 有效率的，高效的
eligibility 合格性，资格
embodiment 体现，具体化
endurance 忍耐力，耐力
enlightenment 启迪，启蒙
exceptional 特别的，非凡的
flexibility 灵活性，弹性
forecast 预测，预报
generosity 慷慨，大方
glamorous 迷人的，有魅力的
harmony 和谐，协调
hierarchy 等级制度，阶层
